id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
2436,F69,TX,DALLAS,AIR PARK-DALLAS,033-01-24.4400N,096-50-13.0100W,695,DALLAS-FT WORTH,,122.9,
2437,2IS,FL,CLEWISTON,AIRGLADES,026-44-06.6100N,081-03-03.8200W,20.2,MIAMI,123.05,123.05,
2438,09N,NY,STAATSBURG,AIRHAVEN,041-49-57.5000N,073-52-34.2000W,450,NEW YORK,,122.9,
2439,1H1,NY,CLAY,AIRLANE ENTERPRISES,043-12-21.2000N,076-10-45.5000W,385,NEW YORK,,122.9,
2440,1F7,TX,DALLAS,AIRPARK EAST,032-48-46.6000N,096-21-07.3000W,510,DALLAS-FT WORTH,122.7,122.7,
2441,A39,AZ,MARICOPA,AK-CHIN RGNL,032-59-25.9700N,111-55-08.0500W,1307,PHOENIX,,122.9,
2442,KKI,AK,AKIACHAK,AKIACHAK,060-54-28.3100N,161-26-06.2800W,18,MC GRATH,,122.9,
2443,9G3,NY,AKRON,AKRON/JESSON FLD,043-01-15.9500N,078-28-57.4800W,839.7,DETROIT,122.725,122.725,
2444,3TX,TX,SLIDELL,AKROVILLE,033-23-34.2600N,097-21-13.8500W,895,DALLAS-FT WORTH,,122.9,
2445,KQA,AK,AKUTAN,AKUTAN,054-08-02.0400N,165-46-42.1800W,0,DUTCH HARBOR,,122.9,
2446,3TE,MI,TECUMSEH,AL MEYERS,042-01-30.4000N,083-56-21.4700W,812,DETROIT,,122.9,
2447,L92,NV,ALAMO,ALAMO LANDING FLD,037-21-48.3600N,115-11-43.7600W,3757.2,LAS VEGAS,,122.9,
2448,2OK,AK,ANCHORAGE,ALASKA RGNL HOSPITAL,061-12-45.7300N,149-49-35.7000W,137,ANCHORAGE,122.95,126,
2449,0N6,DE,FELTON,ALBANNA AVIATION,039-00-46.4000N,075-32-02.3000W,50,WASHINGTON,123,123,
2450,54W,WI,ALBANY,ALBANY,042-43-02.5900N,089-25-27.0600W,819,CHICAGO,,122.9,
2451,K19,MO,ALBANY,ALBANY MUNI,040-15-43.9000N,094-20-20.5000W,891.3,OMAHA,,122.9,
2452,S12,OR,ALBANY,ALBANY MUNI,044-38-16.1400N,123-03-34.0200W,226.5,SEATTLE,122.725,122.725,
2453,T23,TX,ALBANY,ALBANY MUNI,032-43-17.0000N,099-16-03.3000W,1414.8,DALLAS-FT WORTH,,122.9,
2454,1N3,PA,PHILIPSBURG,ALBERT,040-58-18.0800N,078-14-34.7300W,1784,DETROIT,,122.9,
2455,5Y1,MI,HESSEL,ALBERT J LINDBERG,046-02-07.5500N,084-25-03.7300W,760,LAKE HURON,,122.9,
2456,N66,NY,ONEONTA,ALBERT S NADER RGNL,042-31-29.2000N,075-03-52.1000W,1763.3,NEW YORK,122.8,122.8,
2457,8A0,AL,ALBERTVILLE,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,034-13-44.8000N,086-15-20.7000W,1032.3,ATLANTA,123,123,
